ID,Entry,OriginalEmotion
27925,Arkadaşımın yeni bir sevgilisi olduğunu öğrendiğimde.,Surprise
27926,arkadaşımın kaçtığını duyunca çok şaşırdım.,Surprise
27927,Sevdiğim birisinden ummadığım bir anda ilgi gördüğüm zaman.,Happy
27928,Bir akşam eve giderken ışığın açık olduğunu gördüm. Eve yaklaştığımda ise ışık söndü. Evde kimsenin olmadığını bildiğim için korktum.,Fear
27929,Metroya binerken insanların birbirlerini iterek binmeye çalışmasından öfkeleniyorum.,Anger
27930,Değer verdiğim kişilerden yanlış bir hareket gördüğümde üzülürüm.,Sadness
27931,"""İzban"" beklerken bir adamın raylara tükürmesi.",Disgust
27932,Sınıflar değiştiği zaman en sevdiğim iki öğretmenimin benim gittiğim sınıfa gelmesine şaşırdım.,Surprise
27933,Evde sevdiğim yiyecekleri bulduğumda.,Happy
27934,Sevdiğim yiyecekleri bulduğum zaman.,Fear
27935,İnsanlarım zayıflığım hakkında diyetisyen gibi konuşmasına sinir oluyorum.,Anger
27936,Abur cubur olduğunu sanıp olmadığını gördüğümde üzüldüm.,Sadness
27937,Çöp kutusuna elim değdiği zaman.,Disgust
27938,Sınav haftası annemin bilgisayarda oyun oynamama izin vermesine şaşırdım.,Surprise
27939,Doğum günümde uzakta olan bir arkadaşımdan hediye almıştım. Çok mutlu oldum.,Happy
27940,Korku trenine binmiştim ve çok korktum.,Fear
27941,Çalışma masamın dağınık olmasını seviyorum ama eve geldiğimde düzenli ve temiz görünce sinirleniyorum.,Anger
27942,"Bütün ödevlerimi  yapıp dersime iyi çalışmama rağmen, benden daha az çalışmış birisinin benden yüksek not almasına üzüldüm.",Sadness
27943,Yolda giderken bir adamın tükürdüğünü sonra başka tarafa bakınca başka bir adamın burnunu karıştırdığını gördüğümde tiksindim.,Disgust
27944,Kütüphanede gördüğüm çok eski bir sözlük beni çok şaşırttı.,Surprise
27945,Arkadaşlarımla güzel bir gün geçirmek mutlu eder.,Happy
27946,İnsanlara bir şey yapmadığım halde benden uzaklaşması ve aldatılmak.,Fear
27947,Bulunduğum odada bir sineğin uçup durması ve onu öldüremiyor olmak beni sinirlendirir.,Anger
27948,Çok uğraşmama rağmen istediğim bir şey olmayınca üzülürüm.,Sadness
27949,Tiki kızlarla aynı ortamda bulunmak beni tiksindiriyor.,Disgust
27950,Beklemediğim bir insandan beklemediğim bir hareket gördüğüm zaman.,Surprise
27951,Eniştemin sayesinde canlı ameliyat izlemiştim bu benim hayatımın en mutlu anıydı.,Happy
27952,Konservatuvar sınavına hazırlanırken parmağım çatlamıştı.,Fear
27953,Piyano'ma izinsiz dokunulmasına sinirlenirim.,Anger
27954,Konservatuvar sınavına yaşım tutmadığı için giremeyeceğimi öğrendiğimde üzüldüm.,Sadness
27955,Coğrafya ve edebiyat dersleri bir de sınav haftası.,Disgust
27956,Doğum günüm için arkadaşlarım yazlığa gelip sürpriz yaptıklarında.,Surprise
27957,Okulumun bitmesi beni üzüyor.,Sadness
27958,Anneme bir şey olmasından korkuyorum.,Fear
27959,İstediğim okulu kazanamadığımda çok üzülmüştüm.,Sadness
27960,köpeğimi kaybedince çok üzülmüştüm.,Sadness
27961,sevdiğim kızın benim olması beni mutlu eder.,Happy
27962,kız arkadaşım beni terk edince üzüldüm,Sadness
27963,ameliyat olduğum zaman çok korktum.,Fear
27964,Arkadaşımın hastalandığında yanına gittim. Onu iyi görünce sevindim.,Happy
27965,Yalan söyleyen kişilere sinirlenirim.,Anger
27966,çiğ et kokusundan iğrenirim.,Disgust
27967,ilk kez yağmurlu bir havada yakın bir yere yıldırım düştüğünde gök gürültüsünden korkmuştum.,Fear
27968,Yürürken ya da parkta kızlara laf atılması beni öfkelendirir.,Anger
27969,ilk üniversite giriş sınavına girip başarısız olduğumda üzülmüştüm.,Sadness
27970,öfkelendiğimde hep yastığa vururum.,Anger
27971,Babam ablama telefon alınca ve bana almayınca çok üzüldüm.,Sadness
27972,yumurtanın beyazından tiksinirim.,Disgust
27973,1 yıldır görüşmediğim arkadaşımla karşılaştığımda çok şaşırdım.,Surprise
27974,ilişkilerdeki ikiyüzlülük.,Disgust
27975,mesafesini koruyamayan insanlara öfkeleniyorum.,Anger
27976,doğal afetlerden,Fear
27977,aldığım ölüm haberine,Sadness
27978,kocamın sürpriz olarak gezi ayarlaması,Surprise
27979,kızımın düğününde gelinlikler içinde görünce mutluluktan ağladım.,Happy
27980,"köpek, kuş vs hayvanlardan korkardım ama hepsini ""Allah'a"" şükür yendim.",Fear
27981,bir şey söylediğimde buna çocuklarım ve eşim içinde yapılması gereken şeyi ertelemeleri beni çok öfkelendirir.,Anger
27982,pis kokan insanlardan tiksinirim.,Disgust
27983,seneler sonra öğretmenimi karşımda görünce çok şaşırdım.,Surprise
27984,kızımın sınıf başarısı beni çok mutlu etti.,Happy
27985,arkadaşıma yardım etmediğim için üzgünüm.,Sadness
27986,yere atılan çöplerden çöp atanlardan tiksiniyorum.,Disgust
27987,oğlumun üniversiteye gitmesini görmek daha ne olsun en büyük mutluluk.,Happy
27988,"yapmam gerektiği halde bir şeyi yapamazsam kendime kızıyorum. Niçin ben yapamıyorum, becerikli değil miyim diye.",Anger
27989,ailemin beni kazandığım halde hemşirelik okuluna göndermemeleri beni üzüyor.,Sadness
27990,yemek yemek konusunda hassasım. Tiksindiğim şeyler var.,Disgust
27991,iş bulduğumda çok mutlu oldum.,Happy
27992,"yanmaktan, boğulmaktan, düşmekten çok korkarım.",Fear
27993,yere tükürenleri görünce iğreniyorum.,Disgust
27994,doğum günlerimde çok sevinçli olurum.,Happy
27995,hala olduğumda mutlu olmuştum.,Happy
27996,iftiradan çok korkarım.,Fear
27997,arkadaşımın beni enayi olarak kullanmaya çalışması beni hiddetlendiriyor.,Anger
27998,benim için önemli olan bir şeyi başkasına söylenmesi beni öfkelendiriyor,Anger
27999,doktorların yanlış teşhis koyduklarında yani kanser dediklerinde.,Sadness
28000,tırnakları pis olanlardan tiksiniyorum.,Disgust
28001,dişlerinde yemek artığı ile konuşulduğunda midem bulanıyor.,Disgust
28002,"kendime özen göstermekten, alışveriş yapmaktan ve eğlenmekten mutlu oluyorum.",Happy
28003,"iş yerim değişti. Evime yakınlaştı, çok mutlu oldum.",Happy
28004,çocukların düşüp çarpmasından korkarım.,Fear
28005,iş yerinde arkadaşımın iş yıkmasına sinirlenirim.,Anger
28006,uzun zaman sonra görmediğim bir arkadaşımı Ankara'da gördüğümde çok şaşırmıştım.,Surprise
28007,istediğim başarıları elde etmem.,Happy
28008,yanlış anlaşılmaktan,Fear
28009,hasta yakınlarıyla tartışmak,Anger
28010,sevdiğim arkadaşlarımı kaybettiğimde,Sadness
28011,insanların karşısında kişinin istifra etmesi,Disgust
28012,ilginç bilgiler öğrendiğimde,Surprise
28013,ıssız bir sokakta tek yürümek.,Fear
28014,işim hakkında bir şeyler bildiğini sanan ve bana karışan hastalara sinirleniyorum.,Anger
28015,yanımda kusan bir insandan aşırı tiksiniyorum.,Disgust
28016,genç görünüyorsun denildiğinde mutlu oluyorum.,Happy
28017,geceleri çöp kutusunun yanından geçerken bebek ağlaması duyarsam çok korkarım.,Fear
28018,karanlıktan ödüm kopar,Fear
28019,Evde yalnız kalmaktan tırsarım,Fear
28020,ailemin benim isteklerime karşı duyarsız kaldığı için üzgünüm,Sadness
28021,arkadaşlarım beni dışladığı zaman,Sadness
28022,ablamın hekimlik tayini İzmir'e çıktığında çok mutlu oldum.,Happy
28023,iğne vurulacağım zaman inanılmaz korkuyorum.,Fear
28024,annemle babam telefonda aracı olarak beni kullanarak kavga edince sinir oluyorum ve çoğu zaman sinirden ağlıyorum.,Anger
28025,aniden aklıma gelen bir düşünceyle sevdiklerime bir şey olması ihtimali çok üzücü benim için.,Sadness
28026,"ablamın sürekli titiz, ortalığı toplama, temizlik yapma hallerinden bıktım.",Disgust
28027,"Evlilik yıl dönümümüzde on dakika birbirimizi görelim diye beni dershaneden alan eşimin, sonrasında ""çeşme"", ""urla"", ""karaburun'a"" gidiyoruz demesine çok şaşırmıştım.",Surprise
28028,küçükken kuşumun ölmesi beni çok üzmüştü.,Sadness
28029,İş arkadaşlarımın yemekteyken geğirmeleri beni rahatsız ediyor.,Disgust
28030,oğlumun her mutlu anı beni de mutlu ediyor.,Happy
28031,ameliyat masasına bağlandığımda kaçmak istedim.,Fear
28032,başkalarının özgürlüklerine ya da özürlerine saygı göstermeyenlere çok kızıyorum.,Anger
28033,yalan... en yakınlarımdan arkadaşlarımdan...,Sadness
28034,tuvaletin kirli bırakılmasından nefret ediyorum.,Disgust
28035,sınıfı zor geçen arkadaşım iyi bir üniversite bitirdi. Hayret ettim.,Surprise
28036,kuzenimin üniversite mezuniyet töreninde kendimi üniversite de olduğumu düşünerek mutlu oldum.,Happy
28037,okula başladığım ilk gün mutlu oldum.,Happy
28038,annem ile babamın yanımda tartıştıklarında çok korktum.,Fear
28039,kardeşimin benden habersiz telefonumdan oyun oynamasına öfkeleniyorum.,Anger
28040,ailemin çocuklar arasında ayrım yapması beni üzer.,Sadness
28041,sevdiğim insanın beni terk etmesine üzülürüm.,Sadness
28042,"bir insanın bana yalan söyledikten sonra, o kişiden tiksinirim",Disgust
28043,altı sene aradan sonra dayımın bizi ziyaret etmesine şaşırdım.,Surprise
28044,evlendiğimde benden mutlusu olamaz.,Happy
28045,ilk maaşımı aldığım gün kendimi çok iyi hissederim.,Happy
28046,iş bulduğumda sevinçten uçabilirim.,Happy
28047,arkadaşlarımı kaybetmekten korkarım.,Fear
28048,ilk evcil hayvanım öldüğünde çok üzülmüştüm.,Sadness
28049,ilk kez benden büyük yaratıklar olduğunu anladığımda çok şaşırmıştım.,Surprise
28050,ilk kez suda batmadığımı görünce,Surprise
28051,ilk kardeşim doğduğunda çok mutlu oldum.,Happy
28052,ilk kez aşı vurulduğumda çok korkmuştum.,Fear
28053,yalan söyleyen arkadaşlarımdan hoşlanmıyorum.,Anger
28054,fakir insanları görünce ve zengin insanların cimriliğine tanık oldukça içim sızlıyor.,Sadness
28055,okuldaki sınavlardan bıktım.,Disgust
28056,ameliyat olacağım zaman çok tırsmıştım.,Fear
28057,"""SBS'den"" yüksek not almam",Surprise
28058,ilk kuzenim doğduğunda ve onu kucağıma aldığım zaman çok mutlu oldum.,Happy
28059,aileme zarar gelmesinden çok korkarım.,Fear
28060,dar beyinli insanların dar görüşlerini dayatmalarına inanılmaz sinir olurum.,Anger
28061,çok değer verdiğim bir arkadaşımın onaylamadığım bir davranışını gördüğümde üzülürüm.,Sadness
28062,nerede olduğunun farkına varmadan cıvık davranışlar sergileyen insanlardan,Disgust
28063,kardeşimin üzülmesi beni de üzer.,Sadness
28064,içki içenlerden iğreniyorum.,Disgust
28065,babaannem rahatsızlandığında ölecek diye çok korkmuştum.,Fear
28066,"maça VIP biletimin ""almanca"" sınavı yüzünden yanması",Sadness
28067,geleceğimi planlamaya başladığımda mutlu oldum.,Happy
28068,anneme küfür edildiğinde adama dalarım.,Anger
28069,küçük sınıftaki arkadaşların burnunu karıştırıp sümüklerini yapıştırmaları,Disgust
28070,arkadaşım çikolata alınca mutlu oldum.,Happy
28071,korku filminden çok korkmuştum.,Fear
28072,arkadaşımla küstüğüm için öfkelendim.,Anger
28073,ailemin yaptığı sürpriz doğum günü partisinden sevinmiştim.,Happy
28074,ben küçükken bir kez araba çarpmıştı. O zaman çok korkmuştum.,Fear
28075,alışverişte aradığım şeyi bulamadığım zaman öfkelenirim.,Anger
28076,eniştemi geçen sene kaybettiğimizde üzülmüştüm.,Sadness
28077,böceklerden farelerden tiksiniyorum.,Disgust
28078,fizikten 77 aldığımda şaşırmıştım.,Surprise
28079,istediğim liseyi kazandığıma çok sevindim.,Happy
28080,çok çalıştığım sınavdan düşük almaktan çok korkmuştum.,Fear
28081,sinir olduğum bir şey inadına yapıldığında çok öfkelendim.,Anger
28082,çok yakın bir arkadaşımın yaptığı vefasızlık beni çok üzdü.,Sadness
28083,ön yargılı insanlardan çok sıkıldım.,Disgust
28084,ağabeyimle geçirdiğim her an beni çok mutlu ediyor.,Happy
28085,arkadaşlarımdan bir gün ayrılacak olmak beni korkutuyor.,Fear
28086,şaka yollu olsa bile yüzüme vurulması beni fazla sinirlendiriyor.,Anger
28087,annemin babamın veya ağabeyimin öleceğini düşünmek bile beni yıkıyor.,Sadness
28088,insanların saçları yağlı bir şekilde durması beni tiksindiriyor.,Disgust
28089,arkadaşlarımın hiç beklemediğim bir anda evime gelmesi,Surprise
28090,"arkadaşım beraber dışarıya çıkacağımızı söyleyip, gelmediğinde çok kızdım.",Anger
28091,eve gelen bir misafirin sigara içebilir miyim sorusuna babam evin içinde içilmesinden hoşlanmadığını ama balkonda içebileceğini söyledi.,Disgust
28092,istediğim kiloya ulaştığımda mutlu oldum.,Happy
28093,annem bana kızınca çok korktum.,Fear
28094,bir şey anlatırken karşımdakinin beni dinlememesine çok öfkelenirim,Anger
28095,arkadaşımdan ayrıldığımda çok üzülmüştüm.,Sadness
28096,sınıf arkadaşımın geğirmesinden rahatsız oluyorum.,Disgust
28097,uzun süredir görüşmediğim kuzenimin düğününe gittiğimde çok şaşırdım.,Surprise
28098,yaz tatilinde en yakın arkadaşlarımla birlikte hiçbir sorumluluğum yokken doyasıya eğlenmek ve gülmek,Happy
28099,"""izmir'e"" babaannem ve halamların yanına tatile gitmek.",Happy
28100,arkadaşlarımdan kopmak ya da kaybetmek,Fear
28101,babamdan korkarım.,Fear
28102,evde piyano çalarken herhangi birinin gelip saygısız bir şekilde televizyon izlemesi.,Anger
28103,kardeşimin saygısız bir şekilde odama gelip dağıtması,Anger
28104,iyi beklediğim sınavdan düşük almam,Sadness
28105,babamla aramın bozulması,Sadness
28106,"ayaklardan tiksinirim, pistir çünkü.",Disgust
28107,sevdiğim insanları çok yorgun ve üzgün olduğum bir anda sürpriz bir şekilde karşımda görmem.,Surprise
28108,yeni bir araba alınca sevinirsin,Happy
28109,deprem olunca korkarsın.,Fear
28110,biri arabayla önüme kırarsa öfkelenirim.,Anger
28111,sınıfta kalmak,Sadness
28112,yere tükürmek,Disgust
28113,çok genç birinin bir anda ölmesi,Surprise
28114,taktir almak,Happy
28115,kan alınması,Fear
28116,boş sandığım dersin dolu olduğunu öğrenmek,Sadness
28117,sekizinci sınıfta doğum günümde gözde diye bir arkadaşım oradaki bir büfeden kek almış. bir anda onları sıranın üstünde görünce çok şaşırdım.,Surprise
28118,çocuğum olunca çok mutlu olurum.,Happy
28119,arabayla kaza yapınca çok korktum.,Fear
28120,arkadaşımın saçları masama düşünce çok sinirlenirim.,Anger
28121,kardeşim olduğunda mutluluktan gözlerim doldu.,Happy
28122,benim yüzümden başkasına bir şey olunca,Anger
28123,bizim tanıdık ölünce kendimi odaya hapsetmiştim.,Sadness
28124,yere tüküren birini görünce tiksiniyorum.,Disgust
28125,okulumu kazandığım an benden mutlusu yoktu.,Happy
28126,sevdiğim birinin başına bir şey gelme korkusu hep içimdedir.,Fear
28127,iki kişi konuşurken üçüncünün gelmesi beni çok kızdırır.,Anger
28128,üzgünken yanımda olmayan kişi beni hayal kırıklığına uğratır.,Sadness
28129,iki hafta banyo yapmamış kişi,Disgust
28130,annem en sevdiğim yemekleri yapınca içimi huzur kaplar.,Happy
28131,sınıf ter kokunca midem bulanıyor,Disgust
28132,çalışıp düşük alınca kafamı duvarlara vurasım geldi,Anger
28133,abimin ağzını açarak yemek yemesinden rahatsız oluyorum.,Disgust
28134,ikinci sınıfa gittiğim zaman hocamız günlük tutturuyordu. Ben günlüklere hiçbir şey yazmamıştım ve teslim etmeye sadece bir gün kalmıştı. O gece sabaha kadar günlüğü doldurmaya çalıştım. Bir ara uyuya kaldım ve gözümü açtığımda bana büyük annemin öldüğünü söylendi.,Sadness
28135,okulun yurduna ilk geldiğimde herkesten çok korkmuştum.,Fear
28136,bana verilen sözler tutulmadığında asabileşirim.,Anger
28137,evimize hırsız girince çok üzülmüştüm.,Sadness
28138,babamı araba kullanırken görünce ağzım açık kaldı.,Surprise
28139,bazı insanları yüzüme farklı arkamdan farklı konuşmasından nefret ederim.,Disgust
28140,yakın arkadaş dediğim kişilerin beni yarı yolda bırakması beni hayal kırıklığına uğrattı.,Sadness
28141,çevremdeki insanlar içince onlardan soğudum.,Disgust
28142,Hayatımda ilk uçtuğum gün kadar mutlu olacağımı sanmıyorum.,Happy
28144,Güzel bir okul kazanınca çok sevindim.,Happy
28145,Gece gördüğüm kabustan çok korktum.,Fear
28146,Sorumsuz arkadaşlarım işlerini yapmadığında sinirlenirim.,Anger
28147,Sınavlardan kötü almak beni üzüyor.,Sadness
28148,Meraklı ve her şeye burnunu sokan insanlardan iğrenirim.,Disgust
28149,"istediğim üniversiteyi kazanıp, hayalime yakın bir hayat yaşasam mutlu olurum",Happy
28150,iğneden çok korkarım,Fear
28151,benimle dalga geçilirse sinirlenirim.,Anger
28152,arkadaşımın babası öldüğünde ailesini ağlarken gördüm.,Sadness
28153,"sigara dumanından, sigara içmiş birinin ağız kokusu midemi bulandırır",Disgust
28154,Antrenörümün önünde smaç vurunca havalara uçtum.,Happy
28155,iğneden ürkerim.,Fear
28156,Babamla kavga ediyoruz sürekli çok üzülüyorum.,Sadness
28157,İstediğimiz eve taşınınca çok sevindim.,Happy
28158,Otobüste yorgunken yaşlı teyzeler tarafından zorla yerimden kaldırıldığımda öfkelendim.,Anger
28159,En yakın arkadaşım ile aram bozulduğunda moralim çok bozuldu.,Sadness
28160,En yakın arkadaşımın sandığım gibi bir insan olmadığını öğrendiğimde çok şaşırdım.,Surprise
28161,istediğim liseyi kazandığımda içim bir hoş oldu,Happy
28162,kedilerden çok tırsarım,Fear
28163,ilk düşük notumu aldığımda çok perişan olmuştum,Sadness
28164,sigara içen insanlardan nefret ediyorum,Disgust
28165,Atatürk başkumandanımız olduğu için gururluyum.,Happy
28166,"""Teog'da"" düşük alabilirim diye korkarım.",Fear
28167,Sınavların okulun son haftası yapılmasından nefret ederim.,Anger
28168,Kitap okuma alışkanlığı kazanmamış olmam canımı acıtıyor.,Sadness
28169,kuzenim doğduğunda havalara uçtum.,Happy
28171,kadın cinayetlerini görmek beni ürkütüyor.,Fear
28172,cehaleti cesaretinin önüne geçen insanlardan tiksinirim.,Disgust
28173,eve gidince evde çikolata bulmak,Happy
28174,eski okulumda beni döveceğini söyleyen kızlardan korkuyordum ama hepsini dövdüm.,Fear
28175,matematik dersleri beni üzer.,Sadness
28176,Sınıfımdaki iki aptalın yapmacık davranışlarından bıktım.,Disgust
28177,sevdiğim kişiyle buluştuğum zamanlar havalara uçarım.,Happy
28178,sevdiğim kişiyi defalarca başkasıyla görünce mahvoldum.,Sadness
28179,sınavdan düşük alınca mahvolurum,Sadness
28180,anneme sarıldığımda çok huzurlu hissediyorum. annemi seviyorum.,Happy
28181,fındık aromalı kahve içmek beni rahatlatıyor.,Happy
28182,alışveriş yaptığımda mutlu oluyorum.,Happy
28183,cırcır böceklerini çok severim. cırcır böceklerinin sesini duymak beni mutlu ediyor.,Happy
28184,rezil olacak mıyım kaygısı beni ürkütüyor.,Fear
28185,annemi kaybedeceğimi düşündüğümde kafayı yiyecek gibi oluyorum.,Fear
28186,ilk kez ameliyat olduğumda korkmuştum.,Fear
28187,"İnsanların boylarına ,kilolarına ,dış görünüşüne göre eleştiren insanlardan nefret ederim.",Anger
28188,İnsanların dedikodu yapması beni çok sinirlendiriyor.,Anger
28189,Hiçbir neden yokken uykumun bölünmesi beni öfkelendirir.,Anger
28190,bu okulu sevmiyorum. Burada olmak beni üzüyor.,Sadness
28191,Hoşlandığım çocuğun sevgilisi olduğu öğrendiğimde üzülmüştüm.,Sadness
28192,okulda sunum ödevleri vermeleri moralimi bozuyor.,Sadness
28193,Haberlerde çocuklara karşı yapılan şiddeti gösteren haberler beni üzüyor.,Sadness
28194,biriyle kavga ettiğimde alttan alması gereken kişi hep ben oluyorum ve bu beni üzüyor.,Sadness
28195,babam boş yere bana bağırdığında üzülmüştüm,Sadness
28196,Takıntılı olduğumdan kitaplarımın sayfaları karıştıkça üzülüyorum.,Sadness
28197,et yerken aklıma tatlı hayvanlar geliyor ve midem bulanıyor.,Disgust
28198,ağzını şapırdatarak yemek yiyen insanlardan hoşlanmam.,Disgust
28199,aslında genel olarak insanlardan tiksinirim.,Disgust
28200,en yakın dediğim arkadaşlarım doğum günümü kutlamadıklarında şaşırmıştım.,Surprise
28201,insanların ne kadar bencil olabileceğini ilk fark ettiğimde şaşırmıştım.,Surprise
28202,şimşekten irkilirim,Fear
28203,kirli elini birisi üstüne sürünce,Anger
28204,denizde güneşlenirken fazla güneşlenip yanarsam üzülürüm.,Sadness
28205,gece duyulan tıkırtılar,Fear
28206,suçlu bir kişinin kendini haklı çıkarmaya çalışması,Anger
28207,bir çocuğun tip tip bakması beni sinirlendirir,Anger
28208,annem sevdiğim tatlıları yapınca havalara uçarım,Happy
28209,evde yalnız kalmak hoşuma gider,Happy
28210,yazın yazlığa gidememe korkusu kışın içimi sarar,Fear
28211,bende ciddi bir hastalık çıkmasından korkarım,Fear
28212,tenis kursunda topa düzgün vuramayınca,Sadness
28213,biri boş dersimizi alıp ders işlediğinde,Sadness
28214,mezuniyet balosunda dans teklifi aldığımda ağzım açık kaldı,Surprise
28215,kapı kapanma sinyalini duyduktan sonra metroya binmiş olmam ve sıkışmamış olmam,Happy
28216,haksız olduğu halde kabul etmeyen insanlar,Anger
28217,bana laf sokmaya çalışan insanlar,Anger
28218,sanki iki bilet basmış gibi çantasını yanındaki koltuğa koyan otobüsdeki insanlar,Disgust
28219,en son gelip otobüse ilk binen insanlar,Disgust
28220,sürekli kendini düşünen bencil insanlar,Disgust
28221,sevdiğim birinin canı yanınca içim gider,Sadness
28222,düşük not aldığımda üzülmüştüm.,Sadness
28223,anne olduğum an bence benim en mutlu anım,Happy
28224,Türk olarak dünyaya geldiğin için ve Türkiye'de olduğum için çok huzurluyum.,Happy
28225,yıllarımızın geçtikçe evlatlarımızın büyüdüğünü görmek beni çok memnun ediyor.,Happy
28226,arkadaşlar yerine sanal aleme takılan gençleri gördüğümde sanal aleme ve gençlere öfkeleniyorum.,Anger
28227,"sigara, uyuşturucu kullanan gençlere acırım",Sadness
28228,daha çok çocuğumun olmamasına hayıflanırım,Sadness
28229,yaşadığımız yılların geri gelmeyecek olmasına,Sadness
28230,oğlumun imkanı olmasına rağmen ders çalışmamasına,Sadness
28231,toplu taşıma araçlarında kusan birini gördüğümde,Disgust
28232,ben ona oy atmadım diyen insan çokluğunda nasıl lider olduklarına şaşa kalıyorum,Surprise
28233,yönetiliyor olmam ya da aptal yerine konuluyor olmam beni öfkelendirir.,Anger
28234,çok istediğim halde konservatuvara gidememem beni hüzne boğdu,Sadness
28235,küfürlü konuşmadan hiç hoşlanmam,Disgust
28236,muhabbet kuşumun üstüne bakıyordum. Öldü diye çok korktum.,Fear
28237,hayvanlara şiddet uygulanması beni çileden çıkartır,Anger
28238,lahmacundan kıl çıkması,Disgust
28239,çocuklara kötü davranılmasına hüzünlenirim.,Sadness
28240,insanların kişisel temizliklerine özen göstermeyip kokmasından tiksiniyorum,Disgust
28241,kendini büyük görenlere karşı öfke duyarım,Anger
28242,oda arkadaşım pijamalarını katlamıyor olması iğrenç bir durum,Disgust
28243,annem sürekli bana ev işi yaptırmaya çalışınca sinir oluyorum.,Anger
28244,telefon kontörüm olmayacak bir zamanda biterse sinirlenirim.,Anger
28245,birinin kötü durumda olduğunu görmek beni yıkar.,Sadness
28246,külotlu çorabım yırtıldığında kafamın tası atar,Anger
28247,birisinin karşımda balgam atması,Disgust
28248,sokakta önümde bir adamın tükürdüğünü görünce gerçekten midem bulandı,Disgust
28249,ne kadar yakın olursak olalım yanımda gaz çıkaran insanlardan iğrenirim.,Disgust
28250,pizza yediğimde bayram ediyorum.,Happy
28251,deprem olduğunda çok korkarım,Fear
28252,hocalar bize hakaret ettiğinde sinirleniyorum.,Anger
28253,tavşanlar öldüğünde çok üzülüyorum.,Sadness
28254,sınavdan düşük not aldığımda yüksek alanlardan tiksiniyorum.,Disgust
28255,arkadaşlarım iğrenç espri yapınca midem bulanıyor.,Disgust
28256,annem arkadaşının kızına inanıp bana inanmadığında şaşırmıştım,Surprise
28257,annemin bilgisayarın başından kalk demesine gıcık oluyorum,Anger
28258,sümüklü peçetelerinin sıraların altında olması,Disgust
28259,babamın benden habersiz yeni bir bisiklet almış olması,Surprise
28260,sevdiğim kişi beni severse mutlu olacağım,Happy
28261,sevdiğim insanı kaybetmekten korkuyorum.,Fear
28262,sevdiğim çocuğu başka bir kızla görünce öfkeleniyorum,Anger
28263,haklı olduğum durumlarda bile özür dilemek beni üzüyor,Sadness
28264,sırrımı tutmayan insanlardan tiksiniyorum,Disgust
28265,birbirine yakışmayan insanların sevgili olduklarını gördüğümde şaşırıyorum.,Surprise
28266,sınav haftasının bitmesi ve yazın ilk defa denize girmek kadar beni mutlu eden bir şey yoktur,Happy
28267,okul pantolonumla basket oynarken cırt sesinin gelmesi,Fear
28268,toplulukta ayağıma basılması ve canımın acımasına öfke duyarım,Anger
28269,"""torrent"" arşivimin silinmesine çok üzüldüm",Sadness
28270,eve gidince sevdiğim yemeğin olması,Happy
28271,sevdiğim birinin arayınca telefonunu açmaması,Fear
28272,yapmadığım bir şeyden suçlanmam,Anger
28273,sevdiğim bir eşyayı kaybetmek,Sadness
28274,sokak hayvanlarına şiddet uygulayan insanlardan tiksinirim.,Disgust
28275,evde yalnızken bir ses çıksın korkunun dibine vururum,Fear
28276,"""harry Potter'a"" çocuk filmi diyenlere fazlasıyla öfkeleniyorum",Anger
28277,arkadaşlarım doğum günümü unuttu diye üzülürken iyi ki doğdun sulu göz diye pasta ile gelmeleri en büyük şaşkınlığım,Surprise
28278,"""Narnia"" serisinin yeni filminin çekileceğini duyduğumda sevinçten yerimde duramadım.",Happy
28279,tuttuğum takımın şampiyon olması beni ayrı sevindirir.,Happy
28280,Basket maçında faul almadığım zaman.,Happy
28281,Basketbol maçında 4. faul aldığım zaman.,Fear
28282,5. faulü aldıktan sonra öfkelendim.,Anger
28283,Basketbol maçında 5. faul aldıktan sonra çıkarıldığım zaman üzüldüm.,Sadness
28284,Basket maçında hakemin faul düdüğünü çalması.,Disgust
28285,Hakem haksız faul verdiği zaman.,Surprise
28286,eve gelen yaşlı teyzelerin çok soru sormaları beni usandırdı,Anger
28287,Sınav haftası bitince.,Happy
28288,Sınav notları açıklanırken korkarım.,Fear
28289,Birisi yalan söyleyince.,Anger
28290,Çok istediğim buluşma iptal olunca üzüldüm.,Sadness
28291,Sigara dumanı olan bir yere girdiğim zaman.,Disgust
28292,"Sınav haftası bilgisayarda olmama annem kızmadı, buna şaşırdım.",Surprise
28293,futbol oynarken kaçırdığım gollere hayıflanırım.,Sadness
28294,ayağımın altına sakız yapıştığında iğrenmiştim,Disgust
28295,"""Beşiktaş"" şampiyon olduğunda inanamam",Surprise
28302,"""Fenerbahçe'nin"" şampiyon olamamasına yıkıldım.",Sadness
28303,annemi ve babamı kaybetmekten korkuyorum,Fear
28304,dolu dolu yaşayamamaktan korkuyorum,Fear
28305,sevdiklerimin olmadığı bir yaşam düşüncesi beni üzüyor,Sadness
28306,sevgilisi olan insanlar görünce hüzünlenirim çünkü benim malesef yok,Sadness
28307,"güzel olan kızların güzel değilim diye yakınmalarından, incecik olup şişmanım diyen ağlamalarından tiksinirim.",Disgust
28308,bana sürpriz doğum günü partisi hazırladıklarında şaşmış kalmıştım,Surprise
28309,tutuğum takımın yıldızının otuz metreden gol yapması beni havalara uçurur,Happy
28310,okullar açılınca üzülüyorum,Sadness
28311,Arkadaşlarımla ve ailemle kaliteli zaman geçirince mutlu olurum.,Happy
28312,Sınav sonuçları açıklanırken korkarım.,Fear
